"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL66004","COc1cc(/C=N/Nc2ncnc3[nH]ncc23)ccc1O",5.5
"CHEMBL63803","COc1cc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)ccc1O",7
"CHEMBL2158866","CCN(CC)S(=O)(=O)c1cc(Nc2nccc(-c3ccnc(-c4ccc(NC(=O)NC)cc4)c3)n2)ccc1Cl",6.48
"CHEMBL1957087","O=C(NCc1ccncc1)c1ncoc1-c1ccc(C(F)(F)F)cc1",5.2
"CHEMBL1957101","COc1cnc(-c2ocnc2C(=O)NCc2ccncc2)cc1Cl",5
"CHEMBL1957093","COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)c(F)c1",5.2
"CHEMBL1086175","CCCC(=O)Nc1n[nH]c2cc(-c3ccccc3Cl)ccc12",5.87
"CHEMBL1092802","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3cccnc3)cc12",6.83
"CHEMBL1084683","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(OC(F)(F)F)cc3)ccc12",5.26
"CHEMBL142711","O=C(CCl)c1cc(Br)c(Br)s1",6
"CHEMBL1077243","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3ccoc3)cc12",7.01
"CHEMBL322970","O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1",6.98
"CHEMBL351801","O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cccc(O)c1",5.83
"CHEMBL570580","CCc1cc2c(c3cc(OC)c(OC)cc13)C(=O)NC2=O",7.04
"CHEMBL404687","O=C(O)c1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1",5.5
"CHEMBL404175","O=C(O)CCc1ccc(Nc2ncc([N+](=O)[O-])c(NC34CC5CC(CC(C5)C3)C4)n2)cc1",6.98
"CHEMBL337300","O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12",8.05
"CHEMBL562089","O=C(CN1CCOCC1)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4)nc23)cc1",7.4
"CHEMBL6291","Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21",8.52
"CHEMBL26274","Cn1sc(=O)n(-c2cccc3ccccc23)c1=O",5.52
"CHEMBL368193","C=Cn1cc(C2=C(c3nn(CCCN(C)C)c4ccccc34)C(=O)NC2=O)c2ccccc21",7.31
"CHEMBL99779","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1",5
"CHEMBL1957098","COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cn1",5.7
"CHEMBL2391125","COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)c(C#N)c1",7.5
"CHEMBL259850","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1",6.98
"CHEMBL3093049","Cn1c(NCCC2CCCCC2)nc(-c2ccncc2)cc1=O",7.41
"CHEMBL3093043","Cn1c(CCCc2ccccc2)nc(-c2ccncc2)cc1=O",7.05
"CHEMBL2334789","O=C1CC(c2ccccc2)Sc2ccccc2N1Cc1ccccc1Br",4.13
"CHEMBL2386090","O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12",9.7
"CHEMBL2386103","COCCn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(F)ccc21",7.4
"CHEMBL126077","O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12",7.66
"CHEMBL260000","NCC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1",6.35
"CHEMBL491447","Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cccc(CO)c21",8.29
"CHEMBL335357","O=C(CCl)c1cc(Br)cs1",5.52
"CHEMBL284861","Cn1sc(=O)n(Cc2ccccc2)c1=O",5.7
"CHEMBL337300","O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12",8.05
"CHEMBL2386274","Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CCOC(C)(C)C)c21",6.83
"CHEMBL305901","c1ccc(-c2cc3[nH]ccnc-3n2)cc1",5.64
"CHEMBL4089702","Cn1c(N2CCNC(c3ccccc3Br)C2)nc(-c2ccncn2)cc1=O",8.37
