"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL524266","Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1",6.84
"CHEMBL1957087","O=C(NCc1ccncc1)c1ncoc1-c1ccc(C(F)(F)F)cc1",5.2
"CHEMBL1938953","Clc1ccc(-n2cc(-c3ccncc3)nn2)cc1",5.96
"CHEMBL77641","Cc1c(-c2ccc(O)cc2)[nH]c2nccnc12",6.28
"CHEMBL1093746","CCCC(=O)Nc1n[nH]c2cc(-c3ccccc3)c(-c3ccccc3)cc12",5.76
"CHEMBL1084683","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(OC(F)(F)F)cc3)ccc12",5.26
"CHEMBL1092754","Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21",8.23
"CHEMBL26101","CCn1sc(=O)n(CC)c1=S",4.7
"CHEMBL316512","O=C1Cc2c([nH]c3cc(Cl)cc(Cl)c23)-c2ccccc2N1",5.3
"CHEMBL522464","Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CO)c21",8.27
"CHEMBL594755","Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2ccccc2)cc1-c1cnc2[nH]nc(C)c2n1",6.55
"CHEMBL261440","O=C(Nc1n[nH]c2cc(-c3cc(F)ccc3F)ccc12)C1CC1",6
"CHEMBL346996","CSc1ccc(NC2=C(c3cccc([N+](=O)[O-])c3)C(=O)NC2=O)cc1",6.82
"CHEMBL346066","O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1cccc(Cl)c1",6.98
"CHEMBL470360","Fc1cccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)c1",7.27
"CHEMBL3699444","COc1cc(C2=C(c3cn(CCOC(=O)C(N)CC(C)C)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC",7.92
"CHEMBL573257","Cc1ccc(-c2ccc3occ(-c4ccc(C(=O)O)cc4)c3c2)o1",7.3
"CHEMBL582853","Cc1ccc(-c2ccc3occ(-c4ccncc4)c3c2)o1",7.11
"CHEMBL143743","Cc1sc(C(=O)CCl)cc1C(=O)CCl",5.3
"CHEMBL593628","O=C(CBr)c1cc(Br)c(Br)s1",6
"CHEMBL399078","CNc1cc(NCc2cccnc2)n2ncc(Br)c2n1",5.34
"CHEMBL183742","COc1ccc(-c2cc3c(NC(=O)c4ccco4)ncnc3o2)cc1",5.62
"CHEMBL575021","Cc1ccc(-c2ccc3occ(-c4ccc([S@@+](C)[O-])cc4)c3c2)o1",6.85
"CHEMBL304533","CN(C)CCNC(=O)c1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc3[nH]cnc23)cc1",8.8
"CHEMBL2386090","O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12",9.7
"CHEMBL260577","NC(c1ccc(Cl)cc1)C1CCN(c2ccnc3[nH]ccc23)CC1",5.7
"CHEMBL489210","Cn1cc(C2=C(c3coc4cc(O)ccc34)C(=O)NC2=O)c2cc(F)ccc21",8.46
"CHEMBL522751","Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(I)ccc21",7.46
"CHEMBL571486","COc1cc2c(C)cc3c(c2cc1OC)C(=O)NC3=O",6.57
"CHEMBL3736035","COc1ccc(-c2ccc3[nH]nc(C(=O)NCC4CCN(Cc5ccc(C(=O)O)o5)CC4)c3c2)cn1",4.15
"CHEMBL140","COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O",4.75
"CHEMBL25820","Cn1sc(=O)n(-c2ccc(F)cc2)c1=O",5.4
"CHEMBL2386274","Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CCOC(C)(C)C)c21",6.83
"CHEMBL3735347","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4noc(C(N)=O)n4)CC3)c2c1",6.31
"CHEMBL4073799","N=C1N[C@H]2c3c([nH]c(Br)c3Br)C(=O)C3CCC[C@@]32N1",5.52
"CHEMBL4066990","Cl.Cn1c(N2CCNC(c3ccccc3F)C2)nc(-c2ccncc2)cc1=O",7.96
