"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL66004","COc1cc(/C=N/Nc2ncnc3[nH]ncc23)ccc1O",5.5
"CHEMBL335357","O=C(CCl)c1cc(Br)cs1",5.52
"CHEMBL1957087","O=C(NCc1ccncc1)c1ncoc1-c1ccc(C(F)(F)F)cc1",5.2
"CHEMBL1957084","COc1ccc(-c2ocnc2C(=O)NCc2cccnc2)cc1",6.6
"CHEMBL1938953","Clc1ccc(-n2cc(-c3ccncc3)nn2)cc1",5.96
"CHEMBL1092802","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3cccnc3)cc12",6.83
"CHEMBL142824","Cc1ccc(C(=O)CBr)cc1",5.6
"CHEMBL25829","CCn1sc(=O)n(CC)c1=O",4.6
"CHEMBL328627","CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2",5.82
"CHEMBL102714","Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21",7.32
"CHEMBL253748","O=C(O)c1ccc(Nc2ncc([N+](=O)[O-])c(NC34CC5CC(CC(C5)C3)C4)n2)cc1",7.58
"CHEMBL3699444","COc1cc(C2=C(c3cn(CCOC(=O)C(N)CC(C)C)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC",7.92
"CHEMBL3661031","Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(-c2ccccc2Cl)c1",7.52
"CHEMBL140045","O=C(CCl)c1ccc(Cl)s1",5
"CHEMBL595061","CCOC(=O)c1sc(SC(C)=O)cc1O",4.6
"CHEMBL575021","Cc1ccc(-c2ccc3occ(-c4ccc([S@@+](C)[O-])cc4)c3c2)o1",6.85
"CHEMBL360534","O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CC1",6.77
"CHEMBL3093041","O=c1cc(-c2ccncc2)nc(CCc2ccccc2)[nH]1",5.05
"CHEMBL490860","Cn1cc(C2=C(c3coc4ccc(F)cc34)C(=O)NC2=O)c2cc(I)ccc21",6.75
"CHEMBL3735079","COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cnccc4OC)cc23)CC1",7.35
"CHEMBL2071613","Cc1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1",4.52
"CHEMBL142327","Cc1ccsc1C(=O)CCl",4.12
"CHEMBL1834323","C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23",7.36
"CHEMBL3735347","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4noc(C(N)=O)n4)CC3)c2c1",6.31
"CHEMBL142826","O=C(CBr)c1ccc(Br)cc1",6.3
"CHEMBL336961","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1",7.75
"CHEMBL4078439","CCCCCCCCCCCCCCCC(=O)N1CCC(NC(=O)C2Sc3ccccc3N(CC)C2=O)CC1",4.73
"CHEMBL4095479","COc1ccc2c(-c3ccnc(N)n3)c[nH]c2c1",5.1
"CHEMBL4089702","Cn1c(N2CCNC(c3ccccc3Br)C2)nc(-c2ccncn2)cc1=O",8.37
"CHEMBL112564","CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N",5.16
