"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL524266","Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1",6.84
"CHEMBL444169","COc1ccc(-c2c[nH]c3c2-n2cccc2/C3=N/O)cc1O",5.26
"CHEMBL103055","CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1",7.75
"CHEMBL1957950","CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1",7.7
"CHEMBL1957101","COc1cnc(-c2ocnc2C(=O)NCc2ccncc2)cc1Cl",5
"CHEMBL1086175","CCCC(=O)Nc1n[nH]c2cc(-c3ccccc3Cl)ccc12",5.87
"CHEMBL1077233","CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccncc3)cc12",7.3
"CHEMBL1092802","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3cccnc3)cc12",6.83
"CHEMBL293542","COc1cccc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c1",7.05
"CHEMBL26101","CCn1sc(=O)n(CC)c1=S",4.7
"CHEMBL1164526","CN1CCN(c2ccc(NC(=O)c3ccc4c(c3)/C(=C3/Nc5ccccc5C3=O)C(=O)N4)cc2)CC1",7
"CHEMBL584757","Cc1ccc(-c2ccc3occ(-c4ccc(S(C)(=O)=O)cc4)c3c2)o1",7.38
"CHEMBL328627","CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2",5.82
"CHEMBL428968","Nc1n[nH]c2nccc(-c3ccccc3)c12",4.64
"CHEMBL346996","CSc1ccc(NC2=C(c3cccc([N+](=O)[O-])c3)C(=O)NC2=O)cc1",6.82
"CHEMBL469736","N#Cc1cccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)c1",7.04
"CHEMBL404687","O=C(O)c1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1",5.5
"CHEMBL513040","Clc1ccccc1CSc1nnc(-c2ccc3c(c2)CCO3)o1",6.7
"CHEMBL3699444","COc1cc(C2=C(c3cn(CCOC(=O)C(N)CC(C)C)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC",7.92
"CHEMBL250145","Brc1cnn2c(NCc3cccnc3)cc(-c3ccco3)nc12",6.51
"CHEMBL24773","CCCCn1c(=O)sn(CC)c1=O",4.16
"CHEMBL593628","O=C(CBr)c1cc(Br)c(Br)s1",6
"CHEMBL2391125","COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)c(C#N)c1",7.5
"CHEMBL183038","O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CCCC1",7.7
"CHEMBL3093043","Cn1c(CCCc2ccccc2)nc(-c2ccncc2)cc1=O",7.05
"CHEMBL69710","[Cl-].[Li+]",5.18
"CHEMBL2334789","O=C1CC(c2ccccc2)Sc2ccccc2N1Cc1ccccc1Br",4.13
"CHEMBL304533","CN(C)CCNC(=O)c1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc3[nH]cnc23)cc1",8.8
