"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL388978","CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",7.96
"CHEMBL2158866","CCN(CC)S(=O)(=O)c1cc(Nc2nccc(-c3ccnc(-c4ccc(NC(=O)NC)cc4)c3)n2)ccc1Cl",6.48
"CHEMBL1957087","O=C(NCc1ccncc1)c1ncoc1-c1ccc(C(F)(F)F)cc1",5.2
"CHEMBL1957950","CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1",7.7
"CHEMBL1957226","COc1cc(CNC(=O)c2ncoc2-c2ccc(OC)c(Cl)c2)ccn1",5.2
"CHEMBL66292","COc1cccc(-n2ncc3c(N/N=C/c4ccc(S(C)(=O)=O)cc4)ncnc32)c1",8.6
"CHEMBL132223","O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCn1cc2c2cccnc21",6.21
"CHEMBL142824","Cc1ccc(C(=O)CBr)cc1",5.6
"CHEMBL25829","CCn1sc(=O)n(CC)c1=O",4.6
"CHEMBL156263","COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O",6.67
"CHEMBL1088618","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3Cl)ccc12",7.26
"CHEMBL470567","Clc1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1",6.55
"CHEMBL404687","O=C(O)c1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1",5.5
"CHEMBL6291","Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21",8.52
"CHEMBL368193","C=Cn1cc(C2=C(c3nn(CCCN(C)C)c4ccccc34)C(=O)NC2=O)c2ccccc21",7.31
"CHEMBL325654","COc1cc2c(cc1OC)-c1[nH]c3ccc(C#N)cc3c1CC(=O)N2",7.75
"CHEMBL584976","C[S+]([O-])c1ccc(-c2coc3ccc(-c4nnc(N)o4)cc23)cc1",7.89
"CHEMBL24773","CCCCn1c(=O)sn(CC)c1=O",4.16
