"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL1957087","O=C(NCc1ccncc1)c1ncoc1-c1ccc(C(F)(F)F)cc1",5.2
"CHEMBL1957084","COc1ccc(-c2ocnc2C(=O)NCc2cccnc2)cc1",6.6
"CHEMBL1957230","COc1ccc(-c2ocnc2C(=O)NCCc2ccncc2)cc1Cl",7.7
"CHEMBL1957085","COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1",5.7
"CHEMBL1957226","COc1cc(CNC(=O)c2ncoc2-c2ccc(OC)c(Cl)c2)ccn1",5.2
"CHEMBL1938953","Clc1ccc(-n2cc(-c3ccncc3)nn2)cc1",5.96
"CHEMBL1099290","CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CN(C)C)cc21",6.43
"CHEMBL1077233","CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccncc3)cc12",7.3
"CHEMBL400745","O=C(NCCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccc(Cl)cc3Cl)nc12",6
"CHEMBL293542","COc1cccc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2=O)c1",7.05
"CHEMBL26101","CCn1sc(=O)n(CC)c1=S",4.7
"CHEMBL1085918","CCCC(=O)Nc1n[nH]c2cc(-c3cccnc3)ccc12",4.96
"CHEMBL102714","Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21",7.32
"CHEMBL428968","Nc1n[nH]c2nccc(-c3ccccc3)c12",4.64
"CHEMBL351801","O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cccc(O)c1",5.83
"CHEMBL48082","Nc1nccc(-c2c[nH]c3ccccc23)n1",3.46
"CHEMBL470567","Clc1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1",6.55
"CHEMBL469736","N#Cc1cccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)c1",7.04
"CHEMBL404175","O=C(O)CCc1ccc(Nc2ncc([N+](=O)[O-])c(NC34CC5CC(CC(C5)C3)C4)n2)cc1",6.98
"CHEMBL183742","COc1ccc(-c2cc3c(NC(=O)c4ccco4)ncnc3o2)cc1",5.62
"CHEMBL3298823","O=C(CC1CNC(=O)c2cc(-c3cn[nH]c3)cn21)NCc1cccc(F)c1",6.41
"CHEMBL2071613","Cc1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1",4.52
"CHEMBL103009","COc1ccc(C(=O)CBr)cc1",6
"CHEMBL142327","Cc1ccsc1C(=O)CCl",4.12
"CHEMBL3735347","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4noc(C(N)=O)n4)CC3)c2c1",6.31
"CHEMBL305901","c1ccc(-c2cc3[nH]ccnc-3n2)cc1",5.64
"CHEMBL4095479","COc1ccc2c(-c3ccnc(N)n3)c[nH]c2c1",5.1
"CHEMBL4089702","Cn1c(N2CCNC(c3ccccc3Br)C2)nc(-c2ccncn2)cc1=O",8.37
"CHEMBL513570","COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C(F)(F)F)c5)o4)cc32)cc1",8.6
