"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL388978","CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",7.96
"CHEMBL444169","COc1ccc(-c2c[nH]c3c2-n2cccc2/C3=N/O)cc1O",5.26
"CHEMBL66004","COc1cc(/C=N/Nc2ncnc3[nH]ncc23)ccc1O",5.5
"CHEMBL63803","COc1cc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)ccc1O",7
"CHEMBL335357","O=C(CCl)c1cc(Br)cs1",5.52
"CHEMBL1957101","COc1cnc(-c2ocnc2C(=O)NCc2ccncc2)cc1Cl",5
"CHEMBL77641","Cc1c(-c2ccc(O)cc2)[nH]c2nccnc12",6.28
"CHEMBL1092802","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3cccnc3)cc12",6.83
"CHEMBL1938964","c1cc(-c2cnnn2C2C3CC4CC(C3)CC2C4)ccn1",5.58
"CHEMBL491064","Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(C3CC3)ccc21",6.63
"CHEMBL328627","CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2",5.82
"CHEMBL1085918","CCCC(=O)Nc1n[nH]c2cc(-c3cccnc3)ccc12",4.96
"CHEMBL1083528","CCCC(=O)Nc1n[nH]c2cc(-c3ccc4c(c3)COO4)ccc12",4.6
"CHEMBL102714","Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21",7.32
"CHEMBL351801","O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cccc(O)c1",5.83
"CHEMBL513330","Clc1ccc(CNc2nccc(-c3cnn4ncccc34)n2)cc1",5
"CHEMBL253748","O=C(O)c1ccc(Nc2ncc([N+](=O)[O-])c(NC34CC5CC(CC(C5)C3)C4)n2)cc1",7.58
"CHEMBL6291","Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21",8.52
"CHEMBL254350","O=C(O)COc1ccc(Nc2ncc3nnn(C45CC6CC(CC(O)(C6)C4)C5)c3n2)cc1",6.77
"CHEMBL99779","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1",5
"CHEMBL325654","COc1cc2c(cc1OC)-c1[nH]c3ccc(C#N)cc3c1CC(=O)N2",7.75
"CHEMBL3699444","COc1cc(C2=C(c3cn(CCOC(=O)C(N)CC(C)C)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC",7.92
"CHEMBL143743","Cc1sc(C(=O)CCl)cc1C(=O)CCl",5.3
"CHEMBL1957098","COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cn1",5.7
"CHEMBL142327","Cc1ccsc1C(=O)CCl",4.12
"CHEMBL2334797","O=C1CC(c2ccc(Cl)cc2)Sc2ccccc2N1Cc1ccccc1[N+](=O)[O-]",4.15
"CHEMBL1834114","Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1",7.35
"CHEMBL3735079","COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cnccc4OC)cc23)CC1",7.35
"CHEMBL1801626","N#Cc1cccc(C(=O)CBr)c1",6
"CHEMBL337300","O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12",8.05
"CHEMBL3735347","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4noc(C(N)=O)n4)CC3)c2c1",6.31
