"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL66004","COc1cc(/C=N/Nc2ncnc3[nH]ncc23)ccc1O",5.5
"CHEMBL63803","COc1cc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)ccc1O",7
"CHEMBL2158866","CCN(CC)S(=O)(=O)c1cc(Nc2nccc(-c3ccnc(-c4ccc(NC(=O)NC)cc4)c3)n2)ccc1Cl",6.48
"CHEMBL1957950","CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1",7.7
"CHEMBL368246","CC(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1",8.3
"CHEMBL360878","CCCCCC(=O)Nc1ncnc2oc(-c3ccc(OC)cc3)cc12",6.36
"CHEMBL142711","O=C(CCl)c1cc(Br)c(Br)s1",6
"CHEMBL1092754","Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21",8.23
"CHEMBL584757","Cc1ccc(-c2ccc3occ(-c4ccc(S(C)(=O)=O)cc4)c3c2)o1",7.38
"CHEMBL1095040","CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12",8.15
"CHEMBL1077243","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3ccoc3)cc12",7.01
"CHEMBL351801","O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cccc(O)c1",5.83
"CHEMBL470567","Clc1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1",6.55
"CHEMBL404687","O=C(O)c1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1",5.5
"CHEMBL255905","OC12CC3CC(C1)CC(Nc1nc(N[C@H]4CC[C@H](O)CC4)ncc1C(F)(F)F)(C3)C2",7.39
"CHEMBL182419","O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CCCC1",8.3
"CHEMBL513040","Clc1ccccc1CSc1nnc(-c2ccc3c(c2)CCO3)o1",6.7
"CHEMBL299756","N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3",8
"CHEMBL3661031","Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(-c2ccccc2Cl)c1",7.52
"CHEMBL582853","Cc1ccc(-c2ccc3occ(-c4ccncc4)c3c2)o1",7.11
"CHEMBL593628","O=C(CBr)c1cc(Br)c(Br)s1",6
"CHEMBL272629","O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1",8.3
"CHEMBL575021","Cc1ccc(-c2ccc3occ(-c4ccc([S@@+](C)[O-])cc4)c3c2)o1",6.85
"CHEMBL360534","O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CC1",6.77
"CHEMBL288064","Ic1cccc(CSc2nnc(-c3ccncc3)o2)c1",6.41
"CHEMBL259850","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1",6.98
"CHEMBL2334797","O=C1CC(c2ccc(Cl)cc2)Sc2ccccc2N1Cc1ccccc1[N+](=O)[O-]",4.15
"CHEMBL2386090","O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12",9.7
"CHEMBL2386103","COCCn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(F)ccc21",7.4
"CHEMBL507249","O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1",5.72
"CHEMBL2071613","Cc1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1",4.52
"CHEMBL140","COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O",4.75
"CHEMBL550925","O=C1NC(=O)C(n2ccc3ncccc32)=C1c1cn(CCCn2ccnc2)c2cc(F)ccc12",6.51
"CHEMBL336961","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1",7.75
"CHEMBL4089702","Cn1c(N2CCNC(c3ccccc3Br)C2)nc(-c2ccncn2)cc1=O",8.37
"CHEMBL4204026","O=C(COc1ccccc1)Nc1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1",4.91
"CHEMBL499006","COc1ccc(CSc2nnc(-c3ccc4ncsc4c3)o2)cc1C(F)(F)F",8.51
"CHEMBL469508","COc1ccc(CSc2nnc(-c3ccc4ncccc4c3)o2)cc1C(F)(F)F",7.75
