"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL50226","Nc1nccc(-c2cc3ccccc3[nH]2)n1",3.38
"CHEMBL524266","Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1",6.84
"CHEMBL1957101","COc1cnc(-c2ocnc2C(=O)NCc2ccncc2)cc1Cl",5
"CHEMBL1099290","CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CN(C)C)cc21",6.43
"CHEMBL1210476","CCCCC(=O)Nc1ncnc2[nH]c(-c3cccc(C#N)c3)nc12",5.91
"CHEMBL1077233","CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccncc3)cc12",7.3
"CHEMBL1093746","CCCC(=O)Nc1n[nH]c2cc(-c3ccccc3)c(-c3ccccc3)cc12",5.76
"CHEMBL259850","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1",6.98
"CHEMBL400745","O=C(NCCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccc(Cl)cc3Cl)nc12",6
"CHEMBL362588","O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2",8.8
"CHEMBL584757","Cc1ccc(-c2ccc3occ(-c4ccc(S(C)(=O)=O)cc4)c3c2)o1",7.38
"CHEMBL594755","Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2ccccc2)cc1-c1cnc2[nH]nc(C)c2n1",6.55
"CHEMBL1077243","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3ccoc3)cc12",7.01
"CHEMBL351801","O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cccc(O)c1",5.83
"CHEMBL550950","CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(Cc5ccccc5)CC4)cc3)n2)s1",5.22
"CHEMBL131254","O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCOCCOCCn1cc2c2cccnc21",6.39
"CHEMBL99779","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1",5
"CHEMBL325654","COc1cc2c(cc1OC)-c1[nH]c3ccc(C#N)cc3c1CC(=O)N2",7.75
"CHEMBL1957082","COc1ccc(-c2ocnc2C(=O)NCc2ccccc2)cc1",6
"CHEMBL399078","CNc1cc(NCc2cccnc2)n2ncc(Br)c2n1",5.34
"CHEMBL272629","O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1",8.3
"CHEMBL575021","Cc1ccc(-c2ccc3occ(-c4ccc([S@@+](C)[O-])cc4)c3c2)o1",6.85
"CHEMBL3093042","O=c1cc(-c2ccncc2)nc(CCCc2ccccc2)[nH]1",6.3
"CHEMBL3093049","Cn1c(NCCC2CCCCC2)nc(-c2ccncc2)cc1=O",7.41
"CHEMBL304533","CN(C)CCNC(=O)c1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc3[nH]cnc23)cc1",8.8
"CHEMBL1834114","Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1",7.35
"CHEMBL489210","Cn1cc(C2=C(c3coc4cc(O)ccc34)C(=O)NC2=O)c2cc(F)ccc21",8.46
"CHEMBL491447","Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cccc(CO)c21",8.29
"CHEMBL3735079","COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cnccc4OC)cc23)CC1",7.35
"CHEMBL316485","CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21",5.68
"CHEMBL1801611","O=C(CI)c1ccc(Br)cc1",5.52
"CHEMBL388978","CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",7.62
"CHEMBL550925","O=C1NC(=O)C(n2ccc3ncccc32)=C1c1cn(CCCn2ccnc2)c2cc(F)ccc12",6.51
"CHEMBL1834323","C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23",7.36
"CHEMBL336961","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1",7.75
