"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL524266","Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1",6.84
"CHEMBL69588","COc1cccc(-n2ncc3c(N/N=C/c4cccc(N)c4)ncnc32)c1",8
"CHEMBL2158866","CCN(CC)S(=O)(=O)c1cc(Nc2nccc(-c3ccnc(-c4ccc(NC(=O)NC)cc4)c3)n2)ccc1Cl",6.48
"CHEMBL1957101","COc1cnc(-c2ocnc2C(=O)NCc2ccncc2)cc1Cl",5
"CHEMBL360878","CCCCCC(=O)Nc1ncnc2oc(-c3ccc(OC)cc3)cc12",6.36
"CHEMBL1099290","CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CN(C)C)cc21",6.43
"CHEMBL1210476","CCCCC(=O)Nc1ncnc2[nH]c(-c3cccc(C#N)c3)nc12",5.91
"CHEMBL142824","Cc1ccc(C(=O)CBr)cc1",5.6
"CHEMBL1164526","CN1CCN(c2ccc(NC(=O)c3ccc4c(c3)/C(=C3/Nc5ccccc5C3=O)C(=O)N4)cc2)CC1",7
"CHEMBL1095040","CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12",8.15
"CHEMBL156263","COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O",6.67
"CHEMBL48082","Nc1nccc(-c2c[nH]c3ccccc23)n1",3.46
"CHEMBL496778","c1cc(-c2cnn3nc(NC4CCCC4)ccc23)nc(NC2CC2)n1",4.6
"CHEMBL497196","c1cc(-c2cnn3nc(N4CCCC4)ccc23)nc(NC2CC2)n1",4.6
"CHEMBL513330","Clc1ccc(CNc2nccc(-c3cnn4ncccc34)n2)cc1",5
"CHEMBL554295","O=c1sn(CCc2ccccc2)c(=O)n1Cc1ccccc1",5.52
"CHEMBL550950","CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(Cc5ccccc5)CC4)cc3)n2)s1",5.22
"CHEMBL513040","Clc1ccccc1CSc1nnc(-c2ccc3c(c2)CCO3)o1",6.7
"CHEMBL573257","Cc1ccc(-c2ccc3occ(-c4ccc(C(=O)O)cc4)c3c2)o1",7.3
"CHEMBL250145","Brc1cnn2c(NCc3cccnc3)cc(-c3ccco3)nc12",6.51
"CHEMBL333829","O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cccs1",7.51
"CHEMBL575021","Cc1ccc(-c2ccc3occ(-c4ccc([S@@+](C)[O-])cc4)c3c2)o1",6.85
"CHEMBL183038","O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CCCC1",7.7
"CHEMBL69710","[Cl-].[Li+]",5.18
"CHEMBL3735079","COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cnccc4OC)cc23)CC1",7.35
"CHEMBL1801611","O=C(CI)c1ccc(Br)cc1",5.52
"CHEMBL571486","COc1cc2c(C)cc3c(c2cc1OC)C(=O)NC3=O",6.57
"CHEMBL103009","COc1ccc(C(=O)CBr)cc1",6
"CHEMBL335357","O=C(CCl)c1cc(Br)cs1",5.52
"CHEMBL142711","O=C(CCl)c1cc(Br)c(Br)s1",6
"CHEMBL25820","Cn1sc(=O)n(-c2ccc(F)cc2)c1=O",5.4
"CHEMBL3735220","COc1ccc2[nH]nc(C(=O)NCC3CCN(CCCN(C)C)CC3)c2c1",5.77
"CHEMBL142826","O=C(CBr)c1ccc(Br)cc1",6.3
"CHEMBL3763944","COc1cc(/C=C/C(O)=C/C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)ccc1O",6.05
"CHEMBL4089702","Cn1c(N2CCNC(c3ccccc3Br)C2)nc(-c2ccncn2)cc1=O",8.37
"CHEMBL103421","CCN1CCOCCN(CC)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1",7.51
"CHEMBL112564","CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N",5.16
"CHEMBL451857","Fc1cccc(CNc2nnc(-c3ccc4c(c3)CCO4)o2)c1",6.48
"CHEMBL3950215","CCOc1cc(/C=C2\S/C(=N\Cc3ccccc3)NC2=O)ccc1O",7.29
"CHEMBL113168","Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCCC1",5.94
"CHEMBL469508","COc1ccc(CSc2nnc(-c3ccc4ncccc4c3)o2)cc1C(F)(F)F",7.75
"CHEMBL523113","Cn1cc(C2=C(c3coc4ccc(F)cc34)C(=O)NC2=O)c2cc(Cl)ccc21",7.38
"CHEMBL142711","O=C(CCl)c1cc(Br)c(Br)s1",6
"CHEMBL402367","COc1cccc(Nc2nccc(C3=CNN4C=CC=CC34)n2)c1",7
"CHEMBL2071614","CC(C)(O)c1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1",4.22
"CHEMBL156987","O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(Cl)c(C(=O)O)c1",6.8
"CHEMBL50894","O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1",8.4
"CHEMBL3765319","O=C(/C=C/c1ccc(OCc2ccccc2)cc1)CC(=O)/C=C/c1ccc(OCc2ccccc2)cc1",5.25
"CHEMBL471832","COc1ccc(-c2coc3ccc(-c4nnc(SCc5cccc(C(F)(F)F)c5)o4)cc23)cc1",8.08
"CHEMBL323657","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2sccc2N1",6.92
"CHEMBL401303","Clc1ccccc1-c1cc(NCc2cccnc2)n2ncc(Br)c2n1",7.27
"CHEMBL2064518","N#Cc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)c1",7.07
"CHEMBL431933","Cn1cc(C2=C(c3ccccc3Cl)C(=O)NC2=O)c2ccccc21",8.44
"CHEMBL430574","O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1",7
"CHEMBL1080932","Cn1cc(C2=C(N3CCOCC3)C(=O)NC2=O)c2ccccc21",5.09
"CHEMBL3110143","Cc1nn(-c2ccccc2Cl)c2c1c1c(c3cccn32)C(=O)NC1=O",6.03
"CHEMBL1081616","COc1cccc(C2=C(c3cn(C)c4cc(F)ccc34)C(=O)NC2=O)c1",7.51
"CHEMBL3911190","O=C(CNC(=O)c1cnc2[nH]cc(-c3ccccc3)c2c1)NCCc1c[nH]c2ccccc12",5.84
"CHEMBL3735621","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(C(=O)[O-])nc4)CC3)c2c1.[Na+]",6.5
"CHEMBL3736418","COc1ccc2[nH]nc(C(=O)NCC3CCN(CCCNC(=O)c4ccccc4)CC3)c2c1",6.24
"CHEMBL3735856","O=C(O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(-c5ccccc5F)cc34)CC2)o1",7.77
"CHEMBL3735291","COC(=O)c1ccoc1CN1CCC(CNC(=O)c2n[nH]c3ccc(OC)cc23)CC1",6.09
"CHEMBL3828352","Cc1nc2ccccc2n1Cc1nnc(NC2CCCCC2)s1",6.39
"CHEMBL3827240","CCOc1ccc(Nc2nnc(Cn3c(C)nc4ccccc43)s2)cc1",6.53
"CHEMBL3763728","O=C(/C=C(O)/C=C/c1ccc(OCc2ccccc2)cc1)/C=C/c1ccc(OCc2ccccc2)cc1",5.6
"CHEMBL357136","O=C(CCl)c1scc(Br)c1Br",6.3
"CHEMBL495039","COc1cc(NCCCN)c2nccc(C)c2c1Oc1cccc(C(F)(F)F)c1",7.46
"CHEMBL3735579","COC(=O)c1csc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)n1",6.89
"CHEMBL25927","CCNC(=O)/N=c1\sn(CC)c(=O)n1-c1ccccc1",4.12
"CHEMBL98153","O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2ccccc2N1",7.62
"CHEMBL3735627","COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4ccc(OC)nc4)cc23)CC1",6.1
"CHEMBL4284111","CS(=O)(=O)c1cccc(N2C(=O)CC(c3ccc(C(=O)NCc4cccc(Cl)c4)cc3)Sc3ccccc32)c1",4.75
"CHEMBL77947","COc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1",5.17
"CHEMBL347419","O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1cccc(O)c1",6.39
"CHEMBL489421","COc1cccc2c(C3=C(c4cn(C)c5cc(-c6ccc(Cl)cc6)c(F)cc45)C(=O)NC3=O)coc12",5.14
"CHEMBL4290903","COc1ccc(CNC(=O)c2ccc(C3CC(=O)N(Cc4ccccc4[N+](=O)[O-])c4ccccc4S3)cc2)cc1",4.57
"CHEMBL1834123","COc1c(NCCCc2ccccc2)c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c12",7.19
"CHEMBL2180881","COc1cc(C2=C(c3c[nH]c4cccnc34)C(=O)NC2=O)cc(OC)c1OC",6.67
"CHEMBL2064536","N#Cc1ccccc1-c1ccc(CSc2nnc(-c3ccncc3)o2)cc1",7.39
"CHEMBL569595","CSc1ccc(/C=C2\NC(=O)NC2=O)cc1",5.16
"CHEMBL2391131","COc1ccc(-c2ccc(CSc3nnc(-c4ccncc4)o3)cc2)cc1",6.75
"CHEMBL318522","O=C(Nc1n[nH]c2cc(-c3cccs3)ccc12)C1CC1",6.67
"CHEMBL258483","O=C(Nc1n[nH]c2ncc(-c3ccccc3)cc12)C1CCCC1",8.3
"CHEMBL261127","CCCC(=O)Nc1n[nH]c2nnc(-c3ccccc3)c(-c3ccccc3)c12",6.16
"CHEMBL261549","CCCC(=O)Nc1n[nH]c2cnc(-c3ccccc3)cc12",8.15
"CHEMBL331000","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccc(O)cc2N1",7.75
"CHEMBL334084","COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(C(F)(F)F)cc12",6.62
"CHEMBL4204627","O=C1NC(=S)S/C1=C\c1cccc(OCCOc2ccc([N+](=O)[O-])cc2)c1",5.59
"CHEMBL402228","COc1ccccc1N1CCN(CCCNC(=O)c2nc(-c3cccnc3)no2)CC1",6.39
"CHEMBL349540","COc1ccccc1C1=C(Nc2ccc(SC)cc2)C(=O)NC1=O",6.96
"CHEMBL406620","COc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3n2)c1",6.9
"CHEMBL260329","CCCC(=O)Nc1n[nH]c2ncc(-c3cccc4ccccc34)cc12",6.62
"CHEMBL4070244","Cl.Cn1c(N2CCNC(c3cccc(F)c3)C2)nc(-c2ccncc2)cc1=O",7.66
"CHEMBL4457174","Cc1nc(-c2ccc(F)c(C)c2)c(-c2ccnc(NC(=O)C3CC3)c2)[nH]1",6.93
"CHEMBL3410105","COc1cc(-c2ccnc(NC(=O)C3CC3)c2)ncc1C(N)=O",7.66
"CHEMBL95827","COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3",5.66
"CHEMBL523735","NC(=O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1",7.7
"CHEMBL106072","O=C(CBr)c1ccc([N+](=O)[O-])cc1",5.7
"CHEMBL160876","O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1",6.96
"CHEMBL155967","O=C1NC(=O)C(N2CCc3ccccc32)=C1c1ccccc1Cl",6.47
"CHEMBL258081","Nc1ncnc2oc(-c3cccnc3)c(-c3ccc(NS(=O)(=O)c4ccccc4)cc3)c12",7.52
"CHEMBL156808","O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(O)cc1",6.5
"CHEMBL259141","NC1CCN(c2ncnc3[nH]ccc23)CC1",4.82
"CHEMBL1080901","Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-]",9.25
"CHEMBL404565","O=C(O)CCc1ccc(Nc2ncc3nnn(-c4ccccc4)c3n2)cc1",7.62
"CHEMBL3437678","CN1C(=N)NC(=O)/C1=C\c1ccc(-c2ccc(F)cc2)o1",5.72
"CHEMBL1957941","O=C(NCCc1ccc([N+](=O)[O-])cc1)c1ccc(O)c2[nH]c(Cc3ccccc3)nc12",5.7
"CHEMBL140061","O=C(CBr)c1ccc(Cl)cc1",6
"CHEMBL1809118","COCc1ccccc1-c1c[nH]c(=O)c2cc(-c3ccncc3)sc12",5.4
"CHEMBL2409175","CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1C",5.58
"CHEMBL250714","O=C(NCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccccc3)nc12",6.06
"CHEMBL3360318","COc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1",5.15
"CHEMBL402325","O=C(NCCCN1CCN(c2ccccc2F)CC1)c1nc(-c2cccnc2)no1",5.83
"CHEMBL593813","Cc1occc1-c1nc(N)c(OC[C@@H](N)Cc2c(Cl)[nH]c3ccccc23)cc1-c1cnc2[nH]nc(C)c2n1",6.52
"CHEMBL175956","O=C1NC(=O)C(c2cn(-c3cccnc3)c3ccccc23)=C1c1[nH]nc2ccccc12",6.7
"CHEMBL40021","Clc1cccc(CSc2nnc(-c3ccncc3)o2)c1",6.09
