"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL66004","COc1cc(/C=N/Nc2ncnc3[nH]ncc23)ccc1O",5.5
"CHEMBL1957087","O=C(NCc1ccncc1)c1ncoc1-c1ccc(C(F)(F)F)cc1",5.2
"CHEMBL1957950","CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1",7.7
"CHEMBL1957230","COc1ccc(-c2ocnc2C(=O)NCCc2ccncc2)cc1Cl",7.7
"CHEMBL1957226","COc1cc(CNC(=O)c2ncoc2-c2ccc(OC)c(Cl)c2)ccn1",5.2
"CHEMBL1938953","Clc1ccc(-n2cc(-c3ccncc3)nn2)cc1",5.96
"CHEMBL1086175","CCCC(=O)Nc1n[nH]c2cc(-c3ccccc3Cl)ccc12",5.87
"CHEMBL109834","CN(C)CCCn1cc(C2=C(c3ccccc3Cl)C(=O)NC2=O)c2cccnc21",7.82
"CHEMBL25829","CCn1sc(=O)n(CC)c1=O",4.6
"CHEMBL428968","Nc1n[nH]c2nccc(-c3ccccc3)c12",4.64
"CHEMBL1082237","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12",7.36
"CHEMBL48082","Nc1nccc(-c2c[nH]c3ccccc23)n1",3.46
"CHEMBL496778","c1cc(-c2cnn3nc(NC4CCCC4)ccc23)nc(NC2CC2)n1",4.6
"CHEMBL470567","Clc1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1",6.55
"CHEMBL253748","O=C(O)c1ccc(Nc2ncc([N+](=O)[O-])c(NC34CC5CC(CC(C5)C3)C4)n2)cc1",7.58
"CHEMBL368193","C=Cn1cc(C2=C(c3nn(CCCN(C)C)c4ccccc34)C(=O)NC2=O)c2ccccc21",7.31
"CHEMBL140045","O=C(CCl)c1ccc(Cl)s1",5
"CHEMBL2391125","COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)c(C#N)c1",7.5
"CHEMBL333829","O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cccs1",7.51
"CHEMBL399078","CNc1cc(NCc2cccnc2)n2ncc(Br)c2n1",5.34
"CHEMBL142327","Cc1ccsc1C(=O)CCl",4.12
"CHEMBL259850","COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1",6.98
"CHEMBL3093049","Cn1c(NCCC2CCCCC2)nc(-c2ccncc2)cc1=O",7.41
"CHEMBL3093037","CC(C)c1nc(-c2ccncc2)cc(=O)[nH]1",5.68
"CHEMBL1834109","CC(C)Nc1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F",5.92
"CHEMBL2386103","COCCn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(F)ccc21",7.4
"CHEMBL126077","O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12",7.66
"CHEMBL507249","O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1",5.72
"CHEMBL260577","NC(c1ccc(Cl)cc1)C1CCN(c2ccnc3[nH]ccc23)CC1",5.7
"CHEMBL489043","COc1cccc2c(C3=C(c4cn(C)c5c(Br)cc(Br)cc45)C(=O)NC3=O)coc12",7.05
"CHEMBL3735079","COCCN1CCC(CNC(=O)c2n[nH]c3ccc(-c4cnccc4OC)cc23)CC1",7.35
"CHEMBL578628","CCS(=O)(=O)c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1",7.42
"CHEMBL571486","COc1cc2c(C)cc3c(c2cc1OC)C(=O)NC3=O",6.57
"CHEMBL335357","O=C(CCl)c1cc(Br)cs1",5.52
"CHEMBL3734985","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(Cl)cc4Cl)CC3)c2c1",6.51
"CHEMBL3735220","COc1ccc2[nH]nc(C(=O)NCC3CCN(CCCN(C)C)CC3)c2c1",5.77
"CHEMBL4204026","O=C(COc1ccccc1)Nc1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1",4.91
"CHEMBL499006","COc1ccc(CSc2nnc(-c3ccc4ncsc4c3)o2)cc1C(F)(F)F",8.51
"CHEMBL3969996","O=C1N/C(=N/c2ccccc2)S/C1=C\c1ccc(F)cc1",7.4
"CHEMBL3950215","CCOc1cc(/C=C2\S/C(=N\Cc3ccccc3)NC2=O)ccc1O",7.29
"CHEMBL471430","COc1ccc(CSc2nnc(-c3ccc4occc4c3)o2)cc1C(F)(F)F",8.31
"CHEMBL572779","CC(=O)c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1",7
"CHEMBL1630438","COc1ccc(-c2c3c(nc4nc(SCCc5ccccc5)nc(N)c24)CCCC3)cc1OC",5.33
"CHEMBL361708","NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1",8
"CHEMBL402367","COc1cccc(Nc2nccc(C3=CNN4C=CC=CC34)n2)c1",7
"CHEMBL2386104","COCCn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(Br)ccc21",7.08
"CHEMBL257980","Cc1ccc(Cl)cc1N1CCN(CCCNC(=O)c2nc(-c3cncnc3)no2)CC1",5.46
"CHEMBL24537","Cn1sc(=O)n(-c2ccc(Cl)cc2)c1=O",5.4
"CHEMBL578861","COP(=O)(OC)c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1",6.55
"CHEMBL574613","CC[S@+]([O-])c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1",7.7
"CHEMBL611357","Cc1c(CC(=O)Cl)csc1C(=O)CCl",5.3
"CHEMBL398621","Clc1ccccc1-c1cc(NCOc2cccnc2)n2ncc(Br)c2n1",7.46
"CHEMBL355496","O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12",6.76
"CHEMBL3110143","Cc1nn(-c2ccccc2Cl)c2c1c1c(c3cccn32)C(=O)NC1=O",6.03
"CHEMBL2386092","O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCCCC2)CC3)=C1c1coc2ccccc12",8.72
"CHEMBL2386106","Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(Br)cnc21",8.28
"CHEMBL369572","O=C1NC(=O)C(c2cnc3ncccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2",7.28
"CHEMBL206109","NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1",4.54
"CHEMBL3828352","Cc1nc2ccccc2n1Cc1nnc(NC2CCCCC2)s1",6.39
"CHEMBL2024370","Br.COc1ccc(-c2n/c(=N\Cc3cccnc3)sn2-c2ccccc2)cc1",5.92
"CHEMBL1682840","Cn1c(N2CCOCC2)cc(-c2ccncn2)cc1=O",6.63
"CHEMBL2207940","O=C1CC(c2ccccc2)Sc2ccccc2N1Cc1ccccc1[N+](=O)[O-]",4.6
"CHEMBL3735095","CCOC(=O)CN1CCC(CNC(=O)c2n[nH]c3ccc(Br)cc23)CC1",6.28
"CHEMBL143273","O=C(CCl)c1c(Br)sc(Cl)c1Cl",5.7
"CHEMBL3951486","O=C(CCc1cnc2[nH]cc(-c3ccccc3)c2c1)NCCc1c[nH]c2ccccc12",5.99
"CHEMBL1164353","CC(C)CN(C)C(=O)c1ccc2cc(-c3n[nH]cc3-c3ccccc3)[nH]c2c1",5.17
"CHEMBL3735579","COC(=O)c1csc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)n1",6.89
"CHEMBL3736216","COc1ccc2[nH]nc(C(=O)NCC3CCN(CCc4ccc(O)cc4)CC3)c2c1",6.46
"CHEMBL3736462","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(OCc5ccccc5)cc4)CC3)c2c1",6.46
"CHEMBL3734895","COc1ccc(-c2ccc3[nH]nc(C(=O)NCC4CCN(Cc5ccc(C(=O)O)o5)CC4)c3c2)cc1",6.52
"CHEMBL67562","Fc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1",6.5
"CHEMBL25927","CCNC(=O)/N=c1\sn(CC)c(=O)n1-c1ccccc1",4.12
"CHEMBL98153","O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2ccccc2N1",7.62
"CHEMBL332678","CC(=O)OCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2",7.12
"CHEMBL380946","CCCCNC(=O)N1Cc2n[nH]c(NC(=O)[C@@H](C)c3ccc4ccccc4c3)c2C1",7.3
"CHEMBL4290903","COc1ccc(CNC(=O)c2ccc(C3CC(=O)N(Cc4ccccc4[N+](=O)[O-])c4ccccc4S3)cc2)cc1",4.57
"CHEMBL574601","C[S+]([O-])c1ccc(-c2coc3ccc(-c4nnc(S)o4)cc23)cc1",7.03
