CMPD_CHEMBLID	CANONICAL_SMILES	ACTIVITY_ID	Inhibition
CHEMBL1909369	Cl.COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)cc2s1	8074898	9.06
CHEMBL181361	Nc1nc(c2ccccn2)c(s1)c3ccc4ncccc4n3	8213846	4.22
CHEMBL397570	Fc1ccc(cc1)C(=O)Nc2sc3CCCCc3c2C#N	8070124	6.11
CHEMBL1909406	Cl.Fc1ccc(cc1)c2nc3SCCn3c2c4ccncc4	8202631	4.76
CHEMBL1909402	Nc1nccc(n1)c2c(nn3cc(ccc23)C(F)(F)F)c4ccc(F)cc4	8090069	1.9
CHEMBL495696	N#Cc1cccc(Nc2nccc(n2)c3cnn4ncccc34)c1	8169135	14.89
CHEMBL218969	CNC(=O)c1cncc(\C=C\c2ccccc2C)c1	8197123	12.65
CHEMBL1909354	Cl.Cc1cc(cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3)c4ccccn4	8139529	3.3
CHEMBL271595	NS(=O)(=O)c1ccc(N\C=C\2/C(=O)Nc3ccc4ncsc4c23)cc1	8131113	26.78
CHEMBL1794070	C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(OC4CCN(C)CC4)cc23)c5ccccc5Cl	8109988	-0.07
CHEMBL506153	CCn1c(nc2cncc(C(=O)NCCNC)c12)c3nonc3N	8088504	2.04
CHEMBL476351	Cc1ccc(NC(=O)c2ccnc(c2)N3CCOCC3)cc1c4ccc(cc4)C(=O)NCC5CC5	8089665	-1.5
CHEMBL230911	NC(=O)c1cc(cc(c1N)c2ccccc2)c3ccncc3	8194933	4.31
CHEMBL330422	CN1CCC(CC1)n2cnc(c3ccc(F)cc3)c2c4ccnc(NCCO)n4	8199409	7.32
CHEMBL1909374	Cl.Fc1ccc(cc1NC(=O)Nc2ccc(Oc3ccc4[nH]c(NC(=O)c5ccccc5)nc4c3)cc2)C(F)(F)F	8157727	7.18
CHEMBL266707	Fc1ccc(cc1)c2c(nc3SCCn23)c4ccncc4	8163934	10.23
CHEMBL1909343	OC(=O)C(F)(F)F.O=C(Nc1n[nH]c2nnc(cc12)c3cccnc3)C4CC4	8129917	2.85
CHEMBL409892	NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc4ncccc4c23)cc1	8085969	17.26
CHEMBL365072	CCc1nccc2c1nc(c3nonc3N)n2CC	8067923	-2.63
CHEMBL1909384	Cl.CCn1c(nc2cncc(C(=O)N3CC[C@H](N)C3)c12)c4nonc4N	8167012	22.39
CHEMBL1895450	CNC(=O)c1ncccc1Nc2nc(Nc3cc4N(CCCc4cc3OC)C(=O)CN(C)C)nc5[nH]ccc25	8169581	-0.74
CHEMBL517123	CN(C)C(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2	8182840	4.66
CHEMBL267228	OCc1ccc(cc1)c2nc(c3ccccn3)c([nH]2)c4ccc5OCOc5c4	8200158	3.24
CHEMBL1956068	COc1ccc2[nH]c3c4[nH]c5ccc(OC)cc5c4c6C(=O)NC(=O)c6c3c2c1	8181997	5.89
CHEMBL271594	CC(C)c1ccc2\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\C(=O)Nc2c1	8125361	0.94
CHEMBL1909398	Cc1cccc2\C(=N\Nc3ccc(cc3)S(=O)(=O)N)\C(=O)Nc12	8174765	0.61
CHEMBL524901	C(CNc1nccc(n1)c2cnn3ncccc23)CN4CCOCC4	8208196	4.8
CHEMBL1909385	Cl.CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2	8095523	5.72
CHEMBL1909380	Cl.COc1cc2ncnc(Nc3ccc4c(cnn4Cc5ccccc5)c3)c2cc1OC	8100235	2.43
CHEMBL185238	Cc1cccc(n1)c2n[nH]cc2c3ccc4ncccc4n3	8072792	3.85
