"Molecule ChEMBL ID","Molecular Weight","AlogP","Smiles","IC50"
"CHEMBL3642419",657.8,4.05,"CP(=O)(C)c1ccc(cc1)c2cccn3nc(nc23)N(CCS(=O)(=O)C)c4cccc(c4)C5CCN(CCS(=O)(=O)C)CC5",95.79
"CHEMBL3642421",473.56,4.03,"CN(c1ccccc1CNc2cccn3nc(Nc4ccc5cnccc5c4)nc23)S(=O)(=O)C",116.17
"CHEMBL3642423",551.65,4.61,"CP(=O)(C)c1ccc(cc1)c2cccn3nc(Nc4cccc(c4)C5CCN(CCS(=O)(=O)C)CC5)nc23",165.79
"CHEMBL3642425",490.59,3.21,"CCN1CCN(C(=O)C1)c2cccc(Nc3nc4c(cccn4n3)c5ccc(cc5)S(=O)(=O)C)c2",1.88
"CHEMBL3644955",565.77,4.11,"CN1CCN(CC1)C2CCN(CC2)c3ccc(cc3)c4cccn5nc(Nc6cccc(c6)N7CCN(C)CC7)nc45",45.02
"CHEMBL3644957",382.45,2.76,"CCn1cc(Nc2nc3c(cccn3n2)c4ccc(cc4)S(=O)(=O)C)cn1",1.88
"CHEMBL3644960",537.65,4.31,"CC(C)(C)OC(=O)N1CCC(CC1)n2cc(Nc3nc4c(cccn4n3)c5ccc(cc5)S(=O)(=O)C)cn2",0.5
"CHEMBL3644963",372.35,4.38,"CCn1cc(Nc2nc3c(cccn3n2)c4ccc(cc4)C(F)(F)F)cn1",2.84
"CHEMBL3644966",451.56,2.84,"CS(=O)(=O)c1ccc(cc1)c2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23",13.9
"CHEMBL3644971",484.6,3.78,"COCc1ccccc1c2cccc3nc(Nc4ccc5CCN(CC(=O)N(C)C)CCc5c4)nn23",47.41
"CHEMBL3644973",453.47,4.86,"COc1ccc(cc1c2cccc3nc(Nc4ccc5CCNCCc5c4)nn23)C(F)(F)F",23.38
"CHEMBL3644975",453.47,4.86,"COc1cc(ccc1c2cccc3nc(Nc4ccc5CCNCCc5c4)nn23)C(F)(F)F",7.4
"CHEMBL3644977",559.61,4.61,"COc1cc(ccc1c2cccc3nc(Nc4ccc5CCN(CCS(=O)(=O)C)CCc5c4)nn23)C(F)(F)F",7.01
"CHEMBL3644979",399.5,4.23,"CCOc1ccccc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",73.61
"CHEMBL3644982",505.64,3.98,"CCOc1ccccc1c2cccn3nc(Nc4ccc5CCN(CCS(=O)(=O)C)CCc5c4)nc23",70.04
"CHEMBL3644984",541.58,3.91,"CS(=O)(=O)CCN1CCc2ccc(Nc3nc4c(cccn4n3)c5cccc6OC(F)(F)Oc56)cc2CC1",24.83
"CHEMBL3644986",482.51,4.92,"COc1ccc(cc1c2cccn3nc(Nc4ccc(cc4)N5CCN(C)CC5)nc23)C(F)(F)F",31.33
"CHEMBL3644990",513.52,4.88,"COc1ccc(cc1c2cccn3nc(Nc4ccc(OCCN5CCOCC5)cc4)nc23)C(F)(F)F",84.5
"CHEMBL3644992",448.96,4.46,"CN1CCN(CC1)c2ccc(Nc3nc4c(OCc5cccc(Cl)c5)cccn4n3)cc2",43.55
"CHEMBL3644994",439.52,3.68,"CN1CCN(CC1)c2ccc(Nc3nc4c(OCc5ccccc5C#N)cccn4n3)cc2",15.1
"CHEMBL3644996",324.39,1.93,"CN1CCN(CC1)c2ccc(Nc3nc4c(O)cccn4n3)cc2",566.68
"CHEMBL3644999",421.48,3.5,"CC(=O)Nc1cccc(Nc2nc3c(cccn3n2)c4ccc(cc4)S(=O)(=O)C)c1",3.43
"CHEMBL3645001",541.55,6.63,"CC(C)(C)OC(=O)N1CCc2ccc(Nc3nc4c(cccn4n3)c5cc(ccc5F)C(F)(F)F)cc2CC1",586.02
"CHEMBL3645003",500.6,5.66,"COc1ncccc1c2cccn3nc(Nc4ccc(cc4)C5CCN(CC5)C(=O)OC(C)(C)C)nc23",674.8
"CHEMBL3645005",485.59,3.81,"COc1ncccc1c2cccn3nc(Nc4ccc(cc4)C5CCN(CC(=O)N(C)C)CC5)nc23",251.31
"CHEMBL3645007",471.57,3.1,"CN(C)C(=O)CN1CCC(CC1)c2ccc(Nc3nc4c(cccn4n3)C5=CC=CNC5=O)cc2",270.24
"CHEMBL3645010",468.48,5.03,"COc1ncc(cc1c2cccn3nc(Nc4ccc(cc4)C5CCNCC5)nc23)C(F)(F)F",132.71
"CHEMBL3645012",553.64,6.58,"CC(C)(C)OC(=O)N1CCC(CC1)c2ccc(Nc3nc4c(cccn4n3)c5cnn(c5)c6ccc(F)cc6)cc2",1108.85
"CHEMBL3645015",538.63,4.73,"CN(C)C(=O)CN1CCC(CC1)c2ccc(Nc3nc4c(cccn4n3)c5cnn(c5)c6ccc(F)cc6)cc2",1.06
"CHEMBL3645017",401.47,3.41,"COc1cnc(cn1)c2cccn3nc(Nc4ccc(cc4)C5CCNCC5)nc23",73.75
"CHEMBL3645020",468.54,4.22,"CN1CCN(CC1)c2cccc(Nc3nc4c(cccn4n3)c5cnn(c5)c6ccc(F)cc6)c2",5.64
"CHEMBL3645024",427.55,4.86,"CC(C)COc1cccc(c1)c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",32.64
"CHEMBL3645027",413.53,4.62,"CC(C)Oc1ccccc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",56.24
"CHEMBL3645030",447.97,5.27,"CCCOc1ccc(Cl)cc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",827.82
"CHEMBL3645032",433.94,4.88,"CCOc1ccc(Cl)cc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",33.44
"CHEMBL3645034",491.62,3.59,"COc1ccccc1c2cccn3nc(Nc4ccc5CCN(CCS(=O)(=O)C)CCc5c4)nc23",17.76
"CHEMBL3645036",467.5,5.25,"CCOc1ccc(cc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23)C(F)(F)F",136.55
"CHEMBL3645038",552.6,5.05,"CCOc1ccc(cc1c2cccn3nc(Nc4ccc5CCN(CC(=O)N(C)C)CCc5c4)nc23)C(F)(F)F",223.03
"CHEMBL3645040",488.57,3.78,"COc1ccc(F)cc1c2cccn3nc(Nc4ccc5CCN(CC(=O)N(C)C)CCc5c4)nc23",11.29
"CHEMBL3645042",505.02,4.29,"COc1cc(Cl)ccc1c2cccn3nc(Nc4ccc5CCN(CC(=O)N(C)C)CCc5c4)nc23",8.48
"CHEMBL3645044",602.61,6.07,"CN(C)C(=O)CN1CCC(CC1)c2ccc(Nc3nc4c(cccn4n3)c5cc(ccc5OCC(F)F)C(F)(F)F)cc2",524.3
"CHEMBL3645046",588.58,5.29,"CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(cccn4n3)c5cc(ccc5OCC(F)F)C(F)(F)F)cc2CC1",316.51
"CHEMBL3645048",491.0,4.25,"COc1cc(Cl)ccc1c2cccn3nc(Nc4ccc5CN(CC(=O)N(C)C)CCc5c4)nc23",21.25
"CHEMBL3645051",467.5,5.63,"COc1ccc(cc1c2cccn3nc(Nc4ccc(cc4)C5CCNCC5)nc23)C(F)(F)F",79.87
"CHEMBL3645053",539.56,6.46,"COc1ccc(cc1c2cccn3nc(Nc4ccc5CN(CCc5c4)C(=O)OC(C)(C)C)nc23)C(F)(F)F",1148.54
"CHEMBL3645055",524.55,4.61,"COc1ccc(cc1c2cccn3nc(Nc4ccc5CN(CC(=O)N(C)C)CCc5c4)nc23)C(F)(F)F",41.4
"CHEMBL3645057",534.61,5.35,"COc1cc(ccc1c2cccn3nc(Nc4ccc(cc4)C5CCN(CC(=O)N(C)C)CC5)nc23)C(F)F",33.69
"CHEMBL3645059",387.46,4.75,"Fc1ccc(cc1)c2cccn3nc(Nc4ccc(cc4)C5CCNCC5)nc23",8.12
"CHEMBL3645061",472.57,4.55,"CN(C)C(=O)CN1CCC(CC1)c2ccc(Nc3nc4c(cccn4n3)c5ccc(F)cc5)cc2",10.36
"CHEMBL3645063",484.6,4.42,"COc1cccc(c1)c2cccn3nc(Nc4ccc(cc4)C5CCN(CC(=O)N(C)C)CC5)nc23",10.69
"CHEMBL3645065",417.49,4.75,"COc1cccc(c1F)c2cccn3nc(Nc4ccc(cc4)C5CCNCC5)nc23",30.45
"CHEMBL3645067",529.64,6.27,"COc1cccc(c1OC)c2cccn3nc(Nc4ccc(cc4)C5CCN(CC5)C(=O)OC(C)(C)C)nc23",326.43
"CHEMBL3645069",514.63,4.42,"COc1cccc(c1OC)c2cccn3nc(Nc4ccc(cc4)C5CCN(CC(=O)N(C)C)CC5)nc23",45.65
"CHEMBL3645071",394.48,4.48,"N#Cc1ccc(cc1)c2cccn3nc(Nc4ccc(cc4)C5CCNCC5)nc23",5.81
"CHEMBL3645073",517.61,6.4,"COc1ccc(c(F)c1)c2cccn3nc(Nc4ccc(cc4)C5CCN(CC5)C(=O)OC(C)(C)C)nc23",163.75
"CHEMBL3645075",512.66,6.32,"CN(C)c1cccc(c1)c2cccn3nc(Nc4ccc(cc4)C5CCN(CC5)C(=O)OC(C)(C)C)nc23",193.08
"CHEMBL3645077",412.54,4.67,"CN(C)c1cccc(c1)c2cccn3nc(Nc4ccc(cc4)C5CCNCC5)nc23",3.93
"CHEMBL3645079",435.48,4.47,"FC(F)COc1ccccc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",129.8
"CHEMBL3645081",513.57,3.88,"CS(=O)(=O)c1ccc(c(OCC(F)F)c1)c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",61.87
"CHEMBL3645083",598.68,3.68,"CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(cccn4n3)c5cc(ccc5OCC(F)F)S(=O)(=O)C)cc2CC1",504.69
"CHEMBL3645085",469.92,5.13,"FC(F)COc1ccc(Cl)cc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23",43.97
"CHEMBL3645087",495.55,5.88,"CC(C)COc1ccc(cc1c2cccn3nc(Nc4ccc5CCNCCc5c4)nc23)C(F)(F)F",1078.21
"CHEMBL3645090",541.0,5.52,"CN(C)C(=O)N1CCc2ccc(Nc3nc4c(cccn4n3)c5cc(Cl)ccc5OCC(F)F)cc2CC1",198.22
"CHEMBL3645092",570.59,5.21,"CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(cccn4n3)c5cc(ccc5OCC(F)F)C(F)F)cc2CC1",269.87
"CHEMBL3645094",443.56,3.85,"COc1ccccc1CNc2cccn3nc(Nc4ccc(cc4)N5CCN(C)CC5)nc23",12.26
"CHEMBL3645097",443.56,3.85,"COc1cccc(CNc2cccn3nc(Nc4ccc(cc4)N5CCN(C)CC5)nc23)c1",1339.32
"CHEMBL3645103",431.52,3.98,"CN1CCN(CC1)c2cccc(Nc3nc4c(NCc5ccc(F)cc5)cccn4n3)c2",1434.69
"CHEMBL3645105",346.39,3.49,"COc1cccc(CNc2cccn3nc(Nc4cccnc4)nc23)c1",816.37
"CHEMBL3645107",346.39,3.49,"COc1ccccc1CNc2cccn3nc(Nc4cccnc4)nc23",32.27
"CHEMBL3645109",376.42,3.5,"COc1ccc(Nc2nc3c(NCc4ccccc4OC)cccn3n2)cn1",42.66
"CHEMBL3645111",360.42,3.8,"COc1ccccc1CNc2cccn3nc(Nc4ccnc(C)c4)nc23",24.7
"CHEMBL3645117",552.6,5.43,"COc1ccc(cc1c2cccn3nc(Nc4cccc(c4)C5CCN(CC(=O)N(C)C)CC5)nc23)C(F)(F)F",75.48
"CHEMBL3645121",431.52,0.97,"CS(=O)(=O)N1CCN(CC1)c2ccc(Nc3ncc(C(=O)N)c(NC4CC4)n3)cc2",3.2
"CHEMBL3646814",467.36,4.49,"NC(=O)c1cc(cc2c3cc(ccc3[nH]c12)C(=O)N[C@@H]4CCNC4)c5ccc(Cl)c(Cl)c5",6.0
"CHEMBL3646816",469.37,4.69,"CN(C)CCNC(=O)c1ccc2[nH]c3c(cc(cc3c2c1)c4ccc(Cl)c(Cl)c4)C(=O)N",6.0
"CHEMBL3646818",447.93,3.52,"CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(cc(cc34)c5ccc(Cl)nc5)C(=O)N",7.0
"CHEMBL3646820",412.49,3.47,"CN1CCN(CC1)C(=O)c2ccc3c(c2)[nH]c4c(cc(cc34)c5ccccc5)C(=O)N",6.0
"CHEMBL3646823",430.51,3.39,"COc1cccc(c1)c2cc(C(=O)N)c3[nH]c4cc(ccc4c3c2)C(=O)NCCN(C)C",6.0
"CHEMBL3646826",441.49,3.41,"COc1cccc(c1)c2cc(C(=O)N)c3[nH]c4cc(ccc4c3c2)C(=O)C5O[C@H]6CN[C@H]5C6",6.0
"CHEMBL3646828",348.36,2.85,"COc1ccc(cc1)c2cc(C(=O)N)c3nc4[nH]c(OC)ccc4c3n2",110.0
"CHEMBL3646830",431.49,5.44,"COc1cccc(c1)c2cc(C(=O)N)c3[nH]c4cc(NC(=O)OC(C)(C)C)ccc4c3c2",160.0
"CHEMBL3646832",413.3,6.18,"CC(C)Oc1ccc2[nH]c3c(cc(cc3c2c1)c4ccc(Cl)c(Cl)c4)C(=O)N",150.0
"CHEMBL3646834",374.4,3.88,"COC(=O)c1cccc2[nH]c3c(cc(cc3c12)c4cccc(OC)c4)C(=O)N",110.0
"CHEMBL3646836",459.5,3.58,"COc1ccc(cc1OC)c2cc(C(=O)N)c3[nH]c4ccc(cc4c3c2)C(=O)N5CCOCC5",6.0
"CHEMBL3646838",463.92,3.57,"NC(=O)c1cc(cc2c3cc(ccc3[nH]c12)C(=O)N4CCOC(CO)C4)c5cccc(Cl)c5",1.0
"CHEMBL3646840",514.56,3.93,"COc1ccc(cc1F)c2cc(C(=O)N)c3[nH]c4ccc(cc4c3c2)C(=O)N5CCN(CC5)C(=O)C6CC6",1.0
"CHEMBL3646842",461.49,3.83,"COc1ccc(cc1F)c2cc(C(=O)N)c3[nH]c4ccc(cc4c3c2)C(=O)N5CCC(O)CC5",1.0
"CHEMBL3646844",317.35,3.49,"COc1cccc(c1)c2cc(C(=O)N)c3[nH]c4cccnc4c3c2",29.0
"CHEMBL3646847",436.42,3.23,"NC(=O)c1cc(nc2c3ccc(cc3[nH]c12)C(=O)N4CCOCC4)c5ccc(F)c(F)c5",7.0
"CHEMBL3646849",485.37,4.5,"NC(=O)c1cc(nc2c3ccc(OCCN4CCOCC4)cc3[nH]c12)c5ccc(Cl)c(Cl)c5",7.0
"CHEMBL3647716",392.51,3.3,"CC1(C)CN(C1)[C@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccccc4)n3",40.0
"CHEMBL3647718",378.48,2.91,"CC1CN(C1)[C@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccccc4)n3",44.0
"CHEMBL3647720",423.5,2.98,"NC(=O)c1cn(nc1Nc2ccnc(F)c2)[C@H]3CC[C@H](C[C@@H]3C#N)N4CC5(CCC5)C4",122.0
"CHEMBL3647722",482.61,2.85,"CS(=O)(=O)c1ccc(Nc2nn(cc2C(=O)N)[C@H]3CC[C@H](C[C@@H]3C#N)N4CC5(CCC5)C4)cc1",15.0
"CHEMBL3647724",526.54,2.58,"COC1CN(C1)C2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)S(=O)(=O)C(F)(F)F)n3",5.0
"CHEMBL3647726",528.56,2.83,"COCCN(C)[C@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)S(=O)(=O)C(F)(F)F)n2",17.0
"CHEMBL3647728",512.51,1.93,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CC[C@@H](C[C@@H]3C#N)N4CC(O)C4",1.0
"CHEMBL3647730",591.64,1.73,"CN(C)S(=O)(=O)CCNC1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)S(=O)(=O)C(F)(F)F)n2",13.0
"CHEMBL3647732",542.56,3.69,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CCC(C[C@@H]3C#N)N4CCC[C@@H]4CF",14.0
"CHEMBL3647734",528.53,3.3,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CCC(C[C@@H]3C#N)N4CC[C@H](F)C4",17.0
"CHEMBL3647736",514.49,1.93,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CCC(C[C@@H]3C#N)NCC(=O)O",1.0
"CHEMBL3647738",520.48,3.11,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CC[C@@H](C[C@@H]3C#N)NCC(F)F",4.0
"CHEMBL3647740",552.5,3.79,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)NCCC(F)(F)F",82.0
"CHEMBL3647742",496.52,2.96,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)N4CCC4",5.0
"CHEMBL3647744",566.53,4.14,"CN(CCC(F)(F)F)[C@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)S(=O)(=O)C(F)(F)F)n2",31.0
"CHEMBL3647746",510.54,3.25,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)NCC4CC4",24.0
"CHEMBL3647748",498.53,3.25,"CC(C)N[C@@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)S(=O)(=O)C(F)(F)F)n2",19.0
"CHEMBL3647750",524.57,3.64,"CC(N[C@@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)S(=O)(=O)C(F)(F)F)n2)C4CC4",43.0
"CHEMBL3647752",564.63,4.37,"CN(C(C1CC1)C2CC2)[C@@H]3CC[C@@H]([C@H](C3)C#N)n4cc(C(=O)N)c(Nc5ccc(cc5)S(=O)(=O)C(F)(F)F)n4",170.0
"CHEMBL3647754",536.58,3.88,"NC(=O)c1cn(nc1Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)[C@H]3CCC(C[C@@H]3C#N)N(C4CC4)C5CC5",16.0
"CHEMBL3647756",524.57,3.64,"C[C@@H](N[C@@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)S(=O)(=O)C(F)(F)F)n2)C4CC4",61.0
"CHEMBL3647758",524.57,3.64,"C[C@H](N[C@@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)S(=O)(=O)C(F)(F)F)n2)C4CC4",83.0
"CHEMBL3647760",510.54,3.2,"CC1CN(C1)[C@@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)S(=O)(=O)C(F)(F)F)n3",25.0
"CHEMBL3647762",420.44,3.54,"CN(C)[C@@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)C(F)(F)F)n2",21.0
"CHEMBL3647764",460.5,4.37,"C[C@H](NC1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)C(F)(F)F)n2)C4CC4",104.0
"CHEMBL3647766",514.47,4.91,"NC(=O)c1cn(nc1Nc2ccc(cc2)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)N[C@H](C4CC4)C(F)(F)F",1000.0
"CHEMBL3647768",514.47,4.91,"NC(=O)c1cn(nc1Nc2ccc(cc2)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)N[C@@H](C4CC4)C(F)(F)F",375.0
"CHEMBL3647770",460.5,4.46,"CC1(C)CCN1[C@@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)C(F)(F)F)n3",430.0
"CHEMBL3647772",462.48,3.04,"CC1(O)CN(C1)[C@@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)C(F)(F)F)n3",9.0
"CHEMBL3647774",516.45,3.59,"NC(=O)c1cn(nc1Nc2ccc(cc2)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)N4CC(O)(C4)C(F)(F)F",62.0
"CHEMBL3647776",460.5,4.32,"CC1(C)CN(C1)[C@@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)C(F)(F)F)n3",285.0
"CHEMBL3647778",412.93,3.75,"CC1(CC1)N[C@H]2CCC([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(Cl)cc4)n3",21.0
"CHEMBL3647781",440.98,4.39,"CC(C)(NC1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2)C4CC4",17.0
"CHEMBL3647783",430.94,2.97,"CC(C)(CO)N[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2",41.0
"CHEMBL3647785",456.98,3.32,"CC(C)(O)C1CN(C1)[C@@H]2CCC([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(Cl)cc4)n3",36.0
"CHEMBL3647787",406.53,3.74,"CC(C)(N[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccccc3)n2)C4CC4",38.0
"CHEMBL3647789",378.48,3.1,"CC1(CC1)N[C@H]2CCC([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccccc4)n3",24.0
"CHEMBL3647791",442.95,3.38,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)C3CC[C@@H](C[C@@H]3C#N)NC4CCOCC4",102.0
"CHEMBL3647793",414.9,2.68,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)C3CC[C@H](C[C@@H]3C#N)NC4(O)CC4",30.0
"CHEMBL3647795",444.97,3.63,"COCC(C)(C)N[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2",43.0
"CHEMBL3647797",440.86,3.76,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@@H](C[C@@H]3C#N)NCC(F)(F)F",34.0
"CHEMBL3647799",466.9,4.3,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@@H](C[C@@H]3C#N)NC4(CC4)C(F)(F)F",36.0
"CHEMBL3647801",444.97,3.63,"COC(C)(C)CN[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2",48.0
"CHEMBL3647803",394.48,2.34,"CC1(COC1)N[C@H]2CCC([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccccc4)n3",24.0
"CHEMBL3647805",442.95,3.33,"CN([C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2)C4(C)COC4",7.0
"CHEMBL3647807",458.99,3.97,"COCC(C)(C)N(C)[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2",63.0
"CHEMBL3647809",416.91,2.85,"COCCN[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2",23.0
"CHEMBL3647811",430.94,3.19,"COCCN(C)[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2",20.0
"CHEMBL3647813",342.38,2.06,"N[C@H]1CCC([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(F)cc3)n2",35.0
"CHEMBL3647815",460.5,4.32,"CN(CC1CC1)[C@@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)C(F)(F)F)n3",135.0
"CHEMBL3647817",500.57,5.29,"NC(=O)c1cn(nc1Nc2ccc(cc2)C(F)(F)F)[C@@H]3CC[C@@H](C[C@H]3C#N)NC4CC5(CCCC5)C4",665.0
"CHEMBL3647819",448.49,4.22,"CC(C)CN[C@H]1CC[C@H]([C@@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(cc3)C(F)(F)F)n2",420.0
"CHEMBL3647821",502.59,5.35,"CC(C)CN(CC1CC1)[C@H]2CC[C@H]([C@@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)C(F)(F)F)n3",910.0
"CHEMBL3647823",502.54,4.09,"NC(=O)c1cn(nc1Nc2ccc(cc2)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)N(CC4CC4)C5COC5",1200.0
"CHEMBL3647825",446.48,4.12,"NC(=O)c1cn(nc1Nc2ccc(cc2)C(F)(F)F)[C@H]3CC[C@H](C[C@@H]3C#N)NC4CCC4",1050.0
"CHEMBL3647828",446.48,4.12,"NC(=O)c1cn(nc1Nc2ccc(cc2)C(F)(F)F)[C@@H]3CC[C@@H](C[C@H]3C#N)NC4CCC4",136.0
"CHEMBL3647834",479.5,3.54,"CC(C)(C(O)C(F)(F)F)c1ccc(Nc2nn(cc2C(=O)N)[C@H]3CC[C@@](C)(O)C[C@@H]3C#N)cc1",4.5
"CHEMBL3647836",385.86,3.16,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@](O)(C[C@@H]3C#N)C=C",25.0
"CHEMBL3647838",451.45,3.11,"C[C@](O)(c1ccc(Nc2nn(cc2C(=O)N)[C@H]3CC[C@](C)(O)C[C@@H]3C#N)cc1)C(F)(F)F",4.0
"CHEMBL3647840",373.84,2.99,"C[C@]1(O)CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2",9.0
"CHEMBL3647842",399.88,3.38,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@](O)(C[C@@H]3C#N)C4CC4",10.0
"CHEMBL3647844",399.88,3.38,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@@](O)(C[C@@H]3C#N)C4CC4",73.0
"CHEMBL3647846",385.86,3.16,"NC(=O)c1cn(nc1Nc2ccc(Cl)cc2)[C@H]3CC[C@@](O)(C[C@@H]3C#N)C=C",6.0
"CHEMBL3647848",409.37,2.85,"NC(=O)c1cn(nc1Nc2ccc(OC(F)(F)F)cc2)[C@H]3CC[C@H](O)C[C@@H]3C#N",5.0
"CHEMBL3647850",377.81,2.74,"NC(=O)c1cn(nc1Nc2ccc(Cl)c(F)c2)[C@H]3CC[C@H](O)C[C@@H]3C#N",12.0
"CHEMBL3647852",350.38,1.82,"NC(=O)c1cn(nc1Nc2ccc(cc2)C#N)[C@H]3CC[C@H](O)C[C@@H]3C#N",3.0
"CHEMBL3647854",376.37,2.28,"NC(=O)c1cn(nc1Nc2ccc(nc2)C(F)F)[C@H]3CC[C@H](O)C[C@@H]3C#N",33.0
"CHEMBL3647856",423.4,2.55,"NC(=O)c1cn(nc1Nc2ccc(cc2)[C@H](O)C(F)(F)F)[C@H]3CC[C@H](O)C[C@@H]3C#N",2.0
"CHEMBL3647858",437.42,2.72,"C[C@](O)(c1ccc(Nc2nn(cc2C(=O)N)[C@H]3CC[C@H](O)C[C@@H]3C#N)cc1)C(F)(F)F",2.0
"CHEMBL3647860",360.81,2.0,"NC(=O)c1cn(nc1Nc2ccc(Cl)nc2)[C@H]3CC[C@H](O)C[C@@H]3C#N",14.0
"CHEMBL3647862",365.44,2.83,"NC(=O)c1cn(nc1Nc2ccc(cc2)C3CC3)[C@H]4CC[C@H](O)C[C@@H]4C#N",10.0
