"Molecule ChEMBL ID","Molecular Weight","AlogP","Smiles","IC50"
"CHEMBL1089773",515.61,4.83,"CN1CCN(CC1)c2ccc(cc2)c3cnc4cccc(c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3",4.3
"CHEMBL1089814",489.55,4.96,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)cc4F)c3n2",501.0
"CHEMBL1089833",519.62,4.22,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2",14.0
"CHEMBL1091565",485.54,4.46,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(cc4)C(=O)N5CCOCC5)c3n2",72.0
"CHEMBL1092588",471.56,4.82,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)cc4)c3n2",120.0
"CHEMBL1092925",564.66,3.62,"CN1CCN(CC1)c2ccc(cn2)c3cnc4cccc(c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3",6.8
"CHEMBL1093119",544.6,4.86,"Cc1cc(ccc1C(=O)N2CCOCC2)c3cnc4cccc(c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3",3.1
"CHEMBL1093454",485.58,5.13,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)c(C)c4)c3n2",195.0
"CHEMBL1093749",465.53,3.9,"CNS(=O)(=O)c1ccc(cc1)c2cccc3ncc(nc23)c4cc(OC)c(OC)c(OC)c4",42.0
"CHEMBL1231124",348.77,3.01,"C[C@H](Nc1ncc(Cl)c(Nc2cc(C)n[nH]2)n1)c3ncc(F)cn3",58.0
"CHEMBL1287853",524.69,4.82,"Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc4cccc(c4)S(=O)(=O)NC(C)(C)C",3.0
"CHEMBL1289095",299.35,3.67,"CC(C)[C@H](C)Nc1nc2C=CNC(=O)c2c3cc(F)ccc13",27.0
"CHEMBL1289097",353.32,4.21,"CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cc(F)ccc13)C(F)(F)F",25.5
"CHEMBL1289217",315.35,2.65,"CC(C)(CO)CNc1nc2C=CNC(=O)c2c3cc(F)ccc13",274.0
"CHEMBL1289991",328.38,3.6,"O=C1NC=Cc2nc(NCc3ccncc3)c(cc12)c4ccccc4",1400.0
"CHEMBL1290309",313.38,4.06,"CC(Nc1nc2C=CNC(=O)c2c3cc(F)ccc13)C(C)(C)C",26.0
"CHEMBL1290424",320.33,3.22,"Fc1ccc2c(NCc3ccccn3)nc4C=CNC(=O)c4c2c1",1115.0
"CHEMBL1290534",366.44,3.28,"CN1CCC(CC1)N(C2CC2)c3nc4C=CNC(=O)c4c5cc(F)ccc35",540.0
"CHEMBL1290767",374.2,5.27,"Fc1ccc2c(Nc3c(Cl)cccc3Cl)nc4C=CNC(=O)c4c2c1",14.0
"CHEMBL1290769",283.31,3.18,"Fc1ccc2c(NC3CCC3)nc4C=CNC(=O)c4c2c1",75.0
"CHEMBL1364913",249.71,2.24,"Cc1ccc(Nc2nc(N)nc(CCl)n2)cc1",1421.0
"CHEMBL1459746",395.46,3.49,"CCN1CC(=Cc2ccc(OC)c(O)c2)C(=O)C(=Cc3ccc(OC)c(O)c3)C1",1500.0
"CHEMBL1543839",333.56,3.02,"ClC1=C(Cl)C(=O)N(COC(=O)c2ccccc2Cl)N=C1",1199.0
"CHEMBL1615027",482.5,2.68,"COc1cc(F)c(CC(=O)N2CCN(CC2)c3nc(Nc4cc(C)n[nH]4)c5cccn5n3)c(F)c1",1.8
"CHEMBL1630789",385.5,3.1,"C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)Nc4cc(C)ns4",510.0
"CHEMBL1630791",303.37,0.62,"C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CO",480.0
"CHEMBL1650698",358.36,3.06,"C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4",3.0
"CHEMBL1650725",328.36,2.66,"C[C@H](Nc1ncc(C)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3",4.0
"CHEMBL1650727",349.76,2.97,"C[C@@H](Oc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3",823.0
"CHEMBL1650729",393.22,3.12,"C[C@H](Nc1ncc(Br)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3",10.0
"CHEMBL1650731",361.36,2.25,"C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)N(C)C)n1)c3ncc(F)cn3",415.5
"CHEMBL1650735",415.43,1.89,"COc1cc(Nc2cc(nc(N[C@@H](C)c3ncc(F)cn3)n2)N4CCOCC4)n[nH]1",20.0
"CHEMBL1650737",449.88,2.54,"COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N4CCOCC4)c2Cl)n[nH]1",47.0
"CHEMBL1682363",413.49,2.76,"O=C(Cc1ccccc1)N2CCN(CC2)c3nc(Nc4ccccn4)c5cccn5n3",190.0
"CHEMBL1682365",419.51,2.82,"O=C(Cc1ccccc1)N2CCN(CC2)c3nc(Nc4nccs4)c5cccn5n3",59.0
